platform,job,algorithm,dataset,run,success,load_time,makespan,processing_time
libgrape-gpu,j894773,CDLP,datagen-8_9-fb,r485515,true,0.0,27.366,0.518
libgrape-gpu,j894773,CDLP,datagen-8_9-fb,r474429,true,0.0,27.628,0.511
libgrape-gpu,j894773,CDLP,datagen-8_9-fb,r588283,true,0.0,26.594,0.515
libgrape-gpu,j762097,BFS,graph500-25,r517350,true,0.0,29.555,0.013
libgrape-gpu,j762097,BFS,graph500-25,r662712,true,0.0,28.799,0.008
libgrape-gpu,j762097,BFS,graph500-25,r751013,true,0.0,29.195,0.008
libgrape-gpu,j866747,WCC,datagen-8_6-fb,r527415,true,0.0,17.888,0.016
libgrape-gpu,j866747,WCC,datagen-8_6-fb,r493396,true,0.0,18.117,0.016
libgrape-gpu,j866747,WCC,datagen-8_6-fb,r464332,true,0.0,17.83,0.016
libgrape-gpu,j582499,WCC,graph500-25,r708653,true,0.0,28.338,0.057
libgrape-gpu,j582499,WCC,graph500-25,r726374,true,0.0,29.374,0.054
libgrape-gpu,j582499,WCC,graph500-25,r761040,true,0.0,40.617,0.06
libgrape-gpu,j694386,WCC,datagen-8_8-zf,r686661,true,0.0,150.124,0.123
libgrape-gpu,j694386,WCC,datagen-8_8-zf,r845504,true,0.0,159.468,0.121
libgrape-gpu,j694386,WCC,datagen-8_8-zf,r597552,true,0.0,162.245,0.114
libgrape-gpu,j638651,PR,graph500-25,r827534,true,0.0,27.957,0.097
libgrape-gpu,j638651,PR,graph500-25,r621282,true,0.0,29.075,0.098
libgrape-gpu,j638651,PR,graph500-25,r481555,true,0.0,28.28,0.098
libgrape-gpu,j511102,SSSP,datagen-8_5-fb,r806797,true,0.0,18.818,0.008
libgrape-gpu,j511102,SSSP,datagen-8_5-fb,r499399,true,0.0,18.512,0.009
libgrape-gpu,j511102,SSSP,datagen-8_5-fb,r727041,true,0.0,39.148,0.009
libgrape-gpu,j511388,CDLP,datagen-8_8-zf,r684024,true,0.0,142.946,0.428
libgrape-gpu,j511388,CDLP,datagen-8_8-zf,r710937,true,0.0,143.899,0.42
libgrape-gpu,j511388,CDLP,datagen-8_8-zf,r661966,true,0.0,159.678,0.417
libgrape-gpu,j506797,PR,datagen-8_9-fb,r831420,true,0.0,24.212,0.071
libgrape-gpu,j506797,PR,datagen-8_9-fb,r804020,true,0.0,23.508,0.063
libgrape-gpu,j506797,PR,datagen-8_9-fb,r581177,true,0.0,24.294,0.061
libgrape-gpu,j805867,BFS,datagen-8_7-zf,r614882,true,0.0,116.47,0.025
libgrape-gpu,j805867,BFS,datagen-8_7-zf,r666892,true,0.0,116.681,0.024
libgrape-gpu,j805867,BFS,datagen-8_7-zf,r695055,true,0.0,120.636,0.026
libgrape-gpu,j815305,CDLP,datagen-8_7-zf,r708484,true,0.0,127.892,0.386
libgrape-gpu,j815305,CDLP,datagen-8_7-zf,r506196,true,0.0,124.384,0.379
libgrape-gpu,j815305,CDLP,datagen-8_7-zf,r921314,true,0.0,119.756,0.376
libgrape-gpu,j578825,WCC,datagen-8_9-fb,r883813,true,0.0,24.435,0.03
libgrape-gpu,j578825,WCC,datagen-8_9-fb,r647420,true,0.0,38.494,0.032
libgrape-gpu,j578825,WCC,datagen-8_9-fb,r638386,true,0.0,23.775,0.029
libgrape-gpu,j559842,LCC,datagen-8_7-zf,r503098,true,0.0,128.587,0.072
libgrape-gpu,j559842,LCC,datagen-8_7-zf,r484596,true,0.0,137.945,0.072
libgrape-gpu,j559842,LCC,datagen-8_7-zf,r490034,true,0.0,145.233,0.072
libgrape-gpu,j795098,BFS,datagen-8_6-fb,r888280,true,0.0,18.833,0.007
libgrape-gpu,j795098,BFS,datagen-8_6-fb,r774106,true,0.0,17.868,0.009
libgrape-gpu,j795098,BFS,datagen-8_6-fb,r509578,true,0.0,18.32,0.007
libgrape-gpu,j576445,LCC,graph500-25,r518815,true,0.0,47.098,0.844
libgrape-gpu,j576445,LCC,graph500-25,r777310,true,0.0,50.126,0.842
libgrape-gpu,j576445,LCC,graph500-25,r578753,true,0.0,47.955,0.848
libgrape-gpu,j648995,LCC,datagen-8_6-fb,r489796,true,0.0,27.163,0.156
libgrape-gpu,j648995,LCC,datagen-8_6-fb,r515863,true,0.0,26.873,0.155
libgrape-gpu,j648995,LCC,datagen-8_6-fb,r749898,true,0.0,27.698,0.154
libgrape-gpu,j888267,LCC,datagen-8_8-zf,r732633,true,0.0,166.599,0.086
libgrape-gpu,j888267,LCC,datagen-8_8-zf,r599822,true,0.0,158.03,0.086
libgrape-gpu,j888267,LCC,datagen-8_8-zf,r485259,true,0.0,157.289,0.087
libgrape-gpu,j606919,PR,datagen-8_7-zf,r594789,true,0.0,132.727,0.037
libgrape-gpu,j606919,PR,datagen-8_7-zf,r516688,true,0.0,123.896,0.038
libgrape-gpu,j606919,PR,datagen-8_7-zf,r827322,true,0.0,128.105,0.035
libgrape-gpu,j647788,LCC,datagen-8_5-fb,r869143,true,0.0,24.004,0.122
libgrape-gpu,j647788,LCC,datagen-8_5-fb,r551623,true,0.0,33.537,0.122
libgrape-gpu,j647788,LCC,datagen-8_5-fb,r564864,true,0.0,23.248,0.121
libgrape-gpu,j515625,WCC,datagen-8_5-fb,r641203,true,0.0,16.892,0.014
libgrape-gpu,j515625,WCC,datagen-8_5-fb,r647081,true,0.0,17.276,0.014
libgrape-gpu,j515625,WCC,datagen-8_5-fb,r647411,true,0.0,17.26,0.014
libgrape-gpu,j490662,SSSP,datagen-8_7-zf,r611006,true,0.0,122.487,0.044
libgrape-gpu,j490662,SSSP,datagen-8_7-zf,r619364,true,0.0,127.707,0.048
libgrape-gpu,j490662,SSSP,datagen-8_7-zf,r880210,true,0.0,151.595,0.045
libgrape-gpu,j893270,CDLP,datagen-8_6-fb,r620790,true,0.0,31.958,0.323
libgrape-gpu,j893270,CDLP,datagen-8_6-fb,r748568,true,0.0,19.433,0.318
libgrape-gpu,j893270,CDLP,datagen-8_6-fb,r871638,true,0.0,19.865,0.318
libgrape-gpu,j824990,CDLP,graph500-25,r610762,true,0.0,32.992,0.371
libgrape-gpu,j824990,CDLP,graph500-25,r781411,true,0.0,31.699,0.366
libgrape-gpu,j824990,CDLP,graph500-25,r592694,true,0.0,32.744,0.364
libgrape-gpu,j776646,BFS,datagen-7_5-fb,r540651,true,0.0,20.167,0.003
libgrape-gpu,j776646,BFS,datagen-7_5-fb,r571747,true,0.0,20.833,0.003
libgrape-gpu,j776646,BFS,datagen-7_5-fb,r478193,true,0.0,20.231,0.003
libgrape-gpu,j814549,CDLP,dota-league,r903790,true,0.0,20.271,0.094
libgrape-gpu,j814549,CDLP,dota-league,r569670,true,0.0,19.645,0.094
libgrape-gpu,j814549,CDLP,dota-league,r632581,true,0.0,19.613,0.095
libgrape-gpu,j893807,SSSP,datagen-7_6-fb,r838885,true,0.0,26.114,0.004
libgrape-gpu,j893807,SSSP,datagen-7_6-fb,r662391,true,0.0,26.051,0.004
libgrape-gpu,j893807,SSSP,datagen-7_6-fb,r868275,true,0.0,25.966,0.004
libgrape-gpu,j878638,WCC,graph500-22,r759132,true,0.0,27.656,0.006
libgrape-gpu,j878638,WCC,graph500-22,r611055,true,0.0,27.974,0.006
libgrape-gpu,j878638,WCC,graph500-22,r487080,true,0.0,28.206,0.006
libgrape-gpu,j869833,SSSP,dota-league,r607651,true,0.0,22.857,0.039
libgrape-gpu,j869833,SSSP,dota-league,r616434,true,0.0,23.021,0.04
libgrape-gpu,j869833,SSSP,dota-league,r838104,true,0.0,22.885,0.038
libgrape-gpu,j863275,PR,datagen-7_9-fb,r632265,true,0.0,35.835,0.01
libgrape-gpu,j863275,PR,datagen-7_9-fb,r485744,true,0.0,35.255,0.009
libgrape-gpu,j863275,PR,datagen-7_9-fb,r815441,true,0.0,33.754,0.009
libgrape-gpu,j604302,WCC,datagen-7_8-zf,r672007,true,0.0,46.403,0.015
libgrape-gpu,j604302,WCC,datagen-7_8-zf,r583417,true,0.0,49.387,0.013
libgrape-gpu,j604302,WCC,datagen-7_8-zf,r821829,true,0.0,45.371,0.014
libgrape-gpu,j570995,BFS,datagen-7_8-zf,r895055,true,0.0,45.459,0.009
libgrape-gpu,j570995,BFS,datagen-7_8-zf,r773665,true,0.0,46.194,0.011
libgrape-gpu,j570995,BFS,datagen-7_8-zf,r888907,true,0.0,46.899,0.01
libgrape-gpu,j627364,LCC,datagen-7_5-fb,r646696,true,0.0,21.183,0.013
libgrape-gpu,j627364,LCC,datagen-7_5-fb,r676307,true,0.0,21.741,0.013
libgrape-gpu,j627364,LCC,datagen-7_5-fb,r657384,true,0.0,21.664,0.013
libgrape-gpu,j787158,LCC,graph500-22,r762971,true,0.0,30.535,0.075
libgrape-gpu,j787158,LCC,graph500-22,r681948,true,0.0,30.834,0.074
libgrape-gpu,j787158,LCC,graph500-22,r619108,true,0.0,30.698,0.074
libgrape-gpu,j789952,PR,datagen-7_5-fb,r915069,true,0.0,20.349,0.009
libgrape-gpu,j789952,PR,datagen-7_5-fb,r617532,true,0.0,20.638,0.006
libgrape-gpu,j789952,PR,datagen-7_5-fb,r781856,true,0.0,20.124,0.006
libgrape-gpu,j618442,WCC,datagen-7_5-fb,r784123,true,0.0,20.218,0.003
libgrape-gpu,j618442,WCC,datagen-7_5-fb,r696080,true,0.0,20.316,0.003
libgrape-gpu,j618442,WCC,datagen-7_5-fb,r503972,true,0.0,20.071,0.003
libgrape-gpu,j592608,CDLP,datagen-7_8-zf,r858722,true,0.0,45.063,0.118
libgrape-gpu,j592608,CDLP,datagen-7_8-zf,r719525,true,0.0,45.796,0.12
libgrape-gpu,j592608,CDLP,datagen-7_8-zf,r532721,true,0.0,46.439,0.12
libgrape-gpu,j789894,CDLP,datagen-7_9-fb,r571803,true,0.0,33.894,0.139
libgrape-gpu,j789894,CDLP,datagen-7_9-fb,r910308,true,0.0,34.265,0.136
libgrape-gpu,j789894,CDLP,datagen-7_9-fb,r463746,true,0.0,34.407,0.136
libgrape-gpu,j564523,BFS,datagen-7_9-fb,r783438,true,0.0,34.621,0.004
libgrape-gpu,j564523,BFS,datagen-7_9-fb,r479717,true,0.0,34.097,0.004
libgrape-gpu,j564523,BFS,datagen-7_9-fb,r856903,true,0.0,33.982,0.004
libgrape-gpu,j754812,PR,graph500-22,r667597,true,0.0,27.829,0.012
libgrape-gpu,j754812,PR,graph500-22,r588277,true,0.0,28.883,0.011
libgrape-gpu,j754812,PR,graph500-22,r781053,true,0.0,27.753,0.012
libgrape-gpu,j916724,LCC,datagen-7_6-fb,r627511,true,0.0,23.351,0.018
libgrape-gpu,j916724,LCC,datagen-7_6-fb,r727708,true,0.0,24.163,0.017
libgrape-gpu,j916724,LCC,datagen-7_6-fb,r769055,true,0.0,23.771,0.017
libgrape-gpu,j684471,CDLP,datagen-7_6-fb,r916258,true,0.0,23.481,0.11
libgrape-gpu,j684471,CDLP,datagen-7_6-fb,r705052,true,0.0,22.39,0.106
libgrape-gpu,j684471,CDLP,datagen-7_6-fb,r807304,true,0.0,22.306,0.11
libgrape-gpu,j827233,BFS,dota-league,r896611,true,0.0,19.798,0.009
libgrape-gpu,j827233,BFS,dota-league,r785714,true,0.0,19.394,0.009
libgrape-gpu,j827233,BFS,dota-league,r700769,true,0.0,19.995,0.009
libgrape-gpu,j720096,LCC,datagen-7_9-fb,r724314,true,0.0,35.553,0.031
libgrape-gpu,j720096,LCC,datagen-7_9-fb,r550498,true,0.0,37.192,0.032
libgrape-gpu,j720096,LCC,datagen-7_9-fb,r578521,true,0.0,37.4,0.03
libgrape-gpu,j738582,PR,datagen-7_8-zf,r553003,true,0.0,45.638,0.008
libgrape-gpu,j738582,PR,datagen-7_8-zf,r816348,true,0.0,46.599,0.009
libgrape-gpu,j738582,PR,datagen-7_8-zf,r652078,true,0.0,46.423,0.008
libgrape-gpu,j607970,PR,datagen-7_6-fb,r536910,true,0.0,23.208,0.007
libgrape-gpu,j607970,PR,datagen-7_6-fb,r905702,true,0.0,23.026,0.007
libgrape-gpu,j607970,PR,datagen-7_6-fb,r702207,true,0.0,22.422,0.007
libgrape-gpu,j485948,WCC,dota-league,r787377,true,0.0,19.977,0.006
libgrape-gpu,j485948,WCC,dota-league,r771988,true,0.0,19.894,0.006
libgrape-gpu,j485948,WCC,dota-league,r496795,true,0.0,19.631,0.006
libgrape-gpu,j899149,WCC,datagen-7_9-fb,r702784,true,0.0,34.117,0.005
libgrape-gpu,j899149,WCC,datagen-7_9-fb,r564007,true,0.0,33.651,0.005
libgrape-gpu,j899149,WCC,datagen-7_9-fb,r902565,true,0.0,34.814,0.005
libgrape-gpu,j903990,SSSP,datagen-7_8-zf,r490353,true,0.0,52.777,0.011
libgrape-gpu,j903990,SSSP,datagen-7_8-zf,r697696,true,0.0,50.664,0.011
libgrape-gpu,j903990,SSSP,datagen-7_8-zf,r629713,true,0.0,49.967,0.012
libgrape-gpu,j746827,SSSP,datagen-7_9-fb,r597324,true,0.0,40.738,0.004
libgrape-gpu,j746827,SSSP,datagen-7_9-fb,r793096,true,0.0,40.347,0.005
libgrape-gpu,j746827,SSSP,datagen-7_9-fb,r567846,true,0.0,40.467,0.005
libgrape-gpu,j531132,BFS,graph500-22,r806842,true,0.0,28.616,0.003
libgrape-gpu,j531132,BFS,graph500-22,r523934,true,0.0,28.053,0.003
libgrape-gpu,j531132,BFS,graph500-22,r602712,true,0.0,28.026,0.003
libgrape-gpu,j758644,LCC,dota-league,r556024,true,0.0,21.24,0.417
libgrape-gpu,j758644,LCC,dota-league,r584293,true,0.0,21.431,0.432
libgrape-gpu,j758644,LCC,dota-league,r698037,true,0.0,21.384,0.421
libgrape-gpu,j708157,CDLP,datagen-7_5-fb,r651503,true,0.0,20.069,0.095
libgrape-gpu,j708157,CDLP,datagen-7_5-fb,r585133,true,0.0,20.521,0.094
libgrape-gpu,j708157,CDLP,datagen-7_5-fb,r815105,true,0.0,20.585,0.095
libgrape-gpu,j680653,BFS,datagen-7_6-fb,r597228,true,0.0,23.027,0.003
libgrape-gpu,j680653,BFS,datagen-7_6-fb,r494800,true,0.0,23.038,0.003
libgrape-gpu,j680653,BFS,datagen-7_6-fb,r596484,true,0.0,22.587,0.003
libgrape-gpu,j461705,LCC,datagen-7_8-zf,r780311,true,0.0,46.644,0.009
libgrape-gpu,j461705,LCC,datagen-7_8-zf,r765822,true,0.0,47.291,0.009
libgrape-gpu,j461705,LCC,datagen-7_8-zf,r764052,true,0.0,46.833,0.009
libgrape-gpu,j600570,CDLP,graph500-22,r563386,true,0.0,28.346,0.123
libgrape-gpu,j600570,CDLP,graph500-22,r539885,true,0.0,28.669,0.124
libgrape-gpu,j600570,CDLP,graph500-22,r668898,true,0.0,28.409,0.125
libgrape-gpu,j621797,PR,dota-league,r503462,true,0.0,19.898,0.019
libgrape-gpu,j621797,PR,dota-league,r795681,true,0.0,19.637,0.019
libgrape-gpu,j621797,PR,dota-league,r666225,true,0.0,20.011,0.019
libgrape-gpu,j699089,SSSP,datagen-7_5-fb,r916280,true,0.001,22.892,0.003
libgrape-gpu,j699089,SSSP,datagen-7_5-fb,r584833,true,0.001,22.505,0.004
libgrape-gpu,j699089,SSSP,datagen-7_5-fb,r783459,true,0.001,24.43,0.004
libgrape-gpu,j916175,WCC,datagen-7_6-fb,r726853,true,0.0,22.635,0.003
libgrape-gpu,j916175,WCC,datagen-7_6-fb,r844260,true,0.0,22.491,0.004
libgrape-gpu,j916175,WCC,datagen-7_6-fb,r634626,true,0.0,22.183,0.004
libgrape-gpu,j664212,WCC,datagen-sf10k-fb,r896144,true,0.0,107.941,0.656
libgrape-gpu,j664212,WCC,datagen-sf10k-fb,r612399,true,0.0,107.697,0.661
libgrape-gpu,j664212,WCC,datagen-sf10k-fb,r717006,true,0.0,115.509,0.663
libgrape-gpu,j686027,LCC,graph500-28,r607979,true,0.0,321.078,12.426
libgrape-gpu,j686027,LCC,graph500-28,r722633,true,0.0,300.76,12.43
libgrape-gpu,j686027,LCC,graph500-28,r619321,true,0.0,313.159,12.417
libgrape-gpu,j692935,CDLP,graph500-29,r577993,true,0.0,338.45,3.907
libgrape-gpu,j692935,CDLP,graph500-29,r822388,true,0.0,709.533,3.899
libgrape-gpu,j692935,CDLP,graph500-29,r577427,true,0.0,322.068,3.952
libgrape-gpu,j663349,PR,graph500-28,r564720,true,0.0,138.798,1.594
libgrape-gpu,j663349,PR,graph500-28,r579627,true,0.0,323.174,1.595
libgrape-gpu,j663349,PR,graph500-28,r474223,true,0.0,141.321,1.608
libgrape-gpu,j597554,PR,datagen-sf10k-fb,r764999,true,0.0,106.539,1.161
libgrape-gpu,j597554,PR,datagen-sf10k-fb,r725360,true,0.0,107.905,1.155
libgrape-gpu,j597554,PR,datagen-sf10k-fb,r700489,true,0.0,107.435,1.149
libgrape-gpu,j495173,SSSP,datagen-sf10k-fb,r793296,true,0.0,130.066,0.263
libgrape-gpu,j495173,SSSP,datagen-sf10k-fb,r871187,true,0.0,580.31,0.26
libgrape-gpu,j495173,SSSP,datagen-sf10k-fb,r828620,true,0.0,138.739,0.26
libgrape-gpu,j783537,BFS,graph500-28,r485727,true,0.0,137.68,0.046
libgrape-gpu,j783537,BFS,graph500-28,r750456,true,0.0,136.596,0.045
libgrape-gpu,j783537,BFS,graph500-28,r889715,true,0.0,135.494,0.044
libgrape-gpu,j577487,LCC,datagen-sf10k-fb,r680303,true,0.0,414.595,3.218
libgrape-gpu,j577487,LCC,datagen-sf10k-fb,r580506,true,0.0,184.427,3.222
libgrape-gpu,j577487,LCC,datagen-sf10k-fb,r590374,true,0.0,184.419,3.234
libgrape-gpu,j642170,CDLP,datagen-sf10k-fb,r704424,true,0.0,121.608,4.467
libgrape-gpu,j642170,CDLP,datagen-sf10k-fb,r855138,true,0.0,125.783,4.485
libgrape-gpu,j642170,CDLP,datagen-sf10k-fb,r570635,true,0.0,122.836,4.494
libgrape-gpu,j892766,BFS,datagen-sf10k-fb,r897043,true,0.0,107.835,0.052
libgrape-gpu,j892766,BFS,datagen-sf10k-fb,r696492,true,0.0,107.835,0.052
libgrape-gpu,j892766,BFS,datagen-sf10k-fb,r916967,true,0.0,112.404,0.052
libgrape-gpu,j848705,CDLP,graph500-28,r621669,true,0.0,170.207,2.129
libgrape-gpu,j848705,CDLP,graph500-28,r565063,true,0.0,175.261,2.108
libgrape-gpu,j848705,CDLP,graph500-28,r756607,true,0.0,172.239,2.099
libgrape-gpu,j835790,WCC,graph500-28,r876445,true,0.0,139.5,0.5
libgrape-gpu,j835790,WCC,graph500-28,r847096,true,0.0,144.004,0.507
libgrape-gpu,j835790,WCC,graph500-28,r501387,true,0.0,143.604,0.51
libgrape-gpu,j605860,LCC,graph500-29,r631509,true,0.0,799.997,30.945
libgrape-gpu,j605860,LCC,graph500-29,r512804,true,0.0,621.527,30.903
libgrape-gpu,j605860,LCC,graph500-29,r727611,true,0.0,621.481,30.992
libgrape-gpu,j840524,WCC,graph500-29,r491964,true,0.0,252.095,1.0
libgrape-gpu,j840524,WCC,graph500-29,r677119,true,0.0,255.653,1.011
libgrape-gpu,j840524,WCC,graph500-29,r565717,true,0.0,578.109,1.007
libgrape-gpu,j515627,BFS,graph500-29,r727516,true,0.0,260.553,0.088
libgrape-gpu,j515627,BFS,graph500-29,r724208,true,0.0,255.457,0.086
libgrape-gpu,j515627,BFS,graph500-29,r681854,true,0.0,253.957,0.089
libgrape-gpu,j652040,PR,graph500-29,r496663,true,0.0,253.823,3.488
libgrape-gpu,j652040,PR,graph500-29,r838720,true,0.0,257.157,3.512
libgrape-gpu,j652040,PR,graph500-29,r784613,true,0.0,631.714,3.5
libgrape-gpu,j798537,BFS,datagen-sf3k-fb,r625082,true,0.0,54.394,0.022
libgrape-gpu,j798537,BFS,datagen-sf3k-fb,r685330,true,0.0,133.885,0.021
libgrape-gpu,j798537,BFS,datagen-sf3k-fb,r705981,true,0.0,52.741,0.021
libgrape-gpu,j668838,LCC,twitter_mpi,r584920,true,0.0,139.423,1.957
libgrape-gpu,j668838,LCC,twitter_mpi,r760747,true,0.0,134.495,1.975
libgrape-gpu,j668838,LCC,twitter_mpi,r568724,true,0.0,210.567,1.946
libgrape-gpu,j725396,PR,datagen-9_3-zf,r812259,true,0.0,448.708,0.218
libgrape-gpu,j725396,PR,datagen-9_3-zf,r541118,true,0.0,448.455,0.242
libgrape-gpu,j725396,PR,datagen-9_3-zf,r657301,true,0.0,512.309,0.221
libgrape-gpu,j758282,WCC,com-friendster,r499824,true,0.0,78.906,0.261
libgrape-gpu,j758282,WCC,com-friendster,r584040,true,0.0,81.383,0.257
libgrape-gpu,j758282,WCC,com-friendster,r513904,true,0.0,81.721,0.256
libgrape-gpu,j738032,PR,com-friendster,r600154,true,0.0,79.222,0.94
libgrape-gpu,j738032,PR,com-friendster,r881933,true,0.0,76.479,0.931
libgrape-gpu,j738032,PR,com-friendster,r676968,true,0.0,80.473,0.926
libgrape-gpu,j909048,PR,twitter_mpi,r549587,true,0.0,61.474,0.283
libgrape-gpu,j909048,PR,twitter_mpi,r744157,true,0.0,66.426,0.268
libgrape-gpu,j909048,PR,twitter_mpi,r701745,true,0.0,62.917,0.276
libgrape-gpu,j649042,CDLP,datagen-9_1-fb,r626180,true,0.0,33.672,0.743
libgrape-gpu,j649042,CDLP,datagen-9_1-fb,r648464,true,0.0,32.632,0.738
libgrape-gpu,j649042,CDLP,datagen-9_1-fb,r813299,true,0.0,70.562,0.732
libgrape-gpu,j835324,PR,datagen-9_0-fb,r583098,true,0.0,25.256,0.077
libgrape-gpu,j835324,PR,datagen-9_0-fb,r768723,true,0.0,26.312,0.079
libgrape-gpu,j835324,PR,datagen-9_0-fb,r706809,true,0.0,24.753,0.079
libgrape-gpu,j722006,BFS,datagen-9_2-zf,r599877,true,0.0,386.241,0.072
libgrape-gpu,j722006,BFS,datagen-9_2-zf,r681011,true,0.0,419.515,0.074
libgrape-gpu,j722006,BFS,datagen-9_2-zf,r750278,true,0.0,374.518,0.072
libgrape-gpu,j745207,SSSP,datagen-9_1-fb,r482227,true,0.0,34.887,0.031
libgrape-gpu,j745207,SSSP,datagen-9_1-fb,r762051,true,0.0,106.657,0.029
libgrape-gpu,j745207,SSSP,datagen-9_1-fb,r605700,true,0.0,31.909,0.029
libgrape-gpu,j676017,LCC,datagen-9_2-zf,r495179,true,0.0,411.841,0.217
libgrape-gpu,j676017,LCC,datagen-9_2-zf,r733796,true,0.0,426.944,0.217
libgrape-gpu,j676017,LCC,datagen-9_2-zf,r548225,true,0.0,400.008,0.218
libgrape-gpu,j903776,WCC,twitter_mpi,r745252,true,0.0,63.789,0.222
libgrape-gpu,j903776,WCC,twitter_mpi,r881926,true,0.0,62.652,0.217
libgrape-gpu,j903776,WCC,twitter_mpi,r523738,true,0.0,62.643,0.244
libgrape-gpu,j631502,CDLP,com-friendster,r681515,true,0.0,96.076,1.729
libgrape-gpu,j631502,CDLP,com-friendster,r670516,true,0.0,96.603,1.728
libgrape-gpu,j631502,CDLP,com-friendster,r731740,true,0.0,96.189,1.721
libgrape-gpu,j820984,WCC,datagen-9_1-fb,r511355,true,0.0,30.458,0.065
libgrape-gpu,j820984,WCC,datagen-9_1-fb,r490853,true,0.0,29.963,0.047
libgrape-gpu,j820984,WCC,datagen-9_1-fb,r469031,true,0.0,30.758,0.046
libgrape-gpu,j901678,LCC,datagen-sf3k-fb,r499215,true,0.0,82.624,0.981
libgrape-gpu,j901678,LCC,datagen-sf3k-fb,r838768,true,0.0,81.498,0.978
libgrape-gpu,j901678,LCC,datagen-sf3k-fb,r616236,true,0.0,83.861,0.974
libgrape-gpu,j624576,LCC,datagen-9_3-zf,r661812,true,0.0,475.289,0.265
libgrape-gpu,j624576,LCC,datagen-9_3-zf,r684264,true,0.0,502.704,0.264
libgrape-gpu,j624576,LCC,datagen-9_3-zf,r717822,true,0.0,462.606,0.261
libgrape-gpu,j819439,BFS,datagen-9_0-fb,r463228,true,0.0,25.516,0.01
libgrape-gpu,j819439,BFS,datagen-9_0-fb,r696155,true,0.0,26.418,0.022
libgrape-gpu,j819439,BFS,datagen-9_0-fb,r527025,true,0.0,27.309,0.011
libgrape-gpu,j647337,CDLP,graph500-27,r774272,true,0.0,93.958,1.059
libgrape-gpu,j647337,CDLP,graph500-27,r817084,true,0.0,94.416,1.023
libgrape-gpu,j647337,CDLP,graph500-27,r652740,true,0.0,93.509,1.037
libgrape-gpu,j792116,LCC,datagen-9_1-fb,r796249,true,0.0,50.354,0.458
libgrape-gpu,j792116,LCC,datagen-9_1-fb,r824862,true,0.0,48.971,0.462
libgrape-gpu,j792116,LCC,datagen-9_1-fb,r918360,true,0.0,46.885,0.449
libgrape-gpu,j807069,WCC,datagen-sf3k-fb,r831256,true,0.0,53.063,0.152
libgrape-gpu,j807069,WCC,datagen-sf3k-fb,r497043,true,0.0,52.754,0.149
libgrape-gpu,j807069,WCC,datagen-sf3k-fb,r558632,true,0.0,51.503,0.149
libgrape-gpu,j665408,LCC,graph500-27,r702936,true,0.0,150.173,4.958
libgrape-gpu,j665408,LCC,graph500-27,r770836,true,0.0,159.794,4.95
libgrape-gpu,j665408,LCC,graph500-27,r817287,true,0.0,156.098,4.978
libgrape-gpu,j688317,BFS,datagen-9_4-fb,r825029,true,0.0,51.509,0.025
libgrape-gpu,j688317,BFS,datagen-9_4-fb,r854135,true,0.0,51.039,0.023
libgrape-gpu,j688317,BFS,datagen-9_4-fb,r892315,true,0.0,51.409,0.022
libgrape-gpu,j564439,PR,graph500-27,r780599,true,0.0,79.687,0.711
libgrape-gpu,j564439,PR,graph500-27,r467111,true,0.0,76.495,0.729
libgrape-gpu,j564439,PR,graph500-27,r626166,true,0.0,80.437,0.703
libgrape-gpu,j574424,SSSP,datagen-sf3k-fb,r795864,true,0.0,59.966,0.062
libgrape-gpu,j574424,SSSP,datagen-sf3k-fb,r644278,true,0.0,58.652,0.063
libgrape-gpu,j574424,SSSP,datagen-sf3k-fb,r473811,true,0.0,210.086,0.062
libgrape-gpu,j778055,LCC,datagen-9_4-fb,r843973,true,0.0,77.656,0.875
libgrape-gpu,j778055,LCC,datagen-9_4-fb,r867535,true,0.0,80.003,0.871
libgrape-gpu,j778055,LCC,datagen-9_4-fb,r916283,true,0.0,77.306,0.871
libgrape-gpu,j894500,WCC,datagen-9_4-fb,r770434,true,0.0,50.755,0.093
libgrape-gpu,j894500,WCC,datagen-9_4-fb,r685835,true,0.0,49.788,0.095
libgrape-gpu,j894500,WCC,datagen-9_4-fb,r712419,true,0.0,51.085,0.097
libgrape-gpu,j532706,CDLP,datagen-sf3k-fb,r694904,true,0.0,58.524,1.443
libgrape-gpu,j532706,CDLP,datagen-sf3k-fb,r549866,true,0.0,59.531,1.448
libgrape-gpu,j532706,CDLP,datagen-sf3k-fb,r524403,true,0.0,58.911,1.461
libgrape-gpu,j826873,PR,graph500-26,r531525,true,0.0,49.659,0.291
libgrape-gpu,j826873,PR,graph500-26,r602797,true,0.0,51.312,0.296
libgrape-gpu,j826873,PR,graph500-26,r716738,true,0.0,49.809,0.284
libgrape-gpu,j758184,PR,datagen-9_2-zf,r620257,true,0.0,353.33,0.15
libgrape-gpu,j758184,PR,datagen-9_2-zf,r683978,true,0.0,380.196,0.154
libgrape-gpu,j758184,PR,datagen-9_2-zf,r651877,true,0.0,395.396,0.155
libgrape-gpu,j896302,BFS,graph500-26,r742045,true,0.0,52.604,0.021
libgrape-gpu,j896302,BFS,graph500-26,r652929,true,0.0,52.947,0.021
libgrape-gpu,j896302,BFS,graph500-26,r736302,true,0.0,74.986,0.02
libgrape-gpu,j782920,PR,datagen-9_1-fb,r806083,true,0.0,29.491,0.1
libgrape-gpu,j782920,PR,datagen-9_1-fb,r886508,true,0.0,29.891,0.118
